k,paa,ptt,pab,qab,pbb,npix_aa,npix_tt,npix_ab,z
0.0031622776601683794,37.9846704069789,,,,,35.0,0.0,0.0,3.0
0.004058198942243799,43.70965931058413,,,,,48.0,0.0,0.0,3.0
0.005207948328595465,30.79699303478779,,,,,67.0,0.0,0.0,3.0
0.006683439175686149,22.9732379829747,,,,,82.0,0.0,0.0,3.0
0.008576958985908946,21.379982459624294,,,,,100.0,0.0,0.0,3.0
0.011006941712522098,22.071580996524073,,,,,131.0,0.0,0.0,3.0
0.01412537544622754,17.817805473406583,,,,,170.0,0.0,0.0,3.0
0.018127308811846987,13.634082766566678,,,,,221.0,0.0,0.0,3.0
0.02326305067153626,10.080532617147782,,,,,273.0,0.0,0.0,3.0
0.029853826189179603,6.74629837630498,,,,,347.0,0.0,0.0,3.0
0.03831186849557289,5.222206749018218,,,,,366.0,0.0,0.0,3.0
0.04916620262745643,3.2003796242301634,,,,,385.0,0.0,0.0,3.0
0.06309573444801933,1.6227371912494386,,,,,313.0,0.0,0.0,3.0
0.0031622776601683794,51.827392534368116,,,,,85.0,0.0,0.0,3.2
0.004058198942243799,42.81566446735718,,,,,92.0,0.0,0.0,3.2
0.005207948328595465,40.07298204135382,,,,,129.0,0.0,0.0,3.2
0.006683439175686149,33.43843132821726,,,,,174.0,0.0,0.0,3.2
0.008576958985908946,29.095884030416325,,,,,218.0,0.0,0.0,3.2
0.011006941712522098,23.970468684234437,,,,,263.0,0.0,0.0,3.2
0.01412537544622754,19.29814714780727,,,,,349.0,0.0,0.0,3.2
0.018127308811846987,15.478070600621813,,,,,437.0,0.0,0.0,3.2
0.02326305067153626,12.95183762044048,,,,,568.0,0.0,0.0,3.2
0.029853826189179603,9.349089228395547,,,,,730.0,0.0,0.0,3.2
0.03831186849557289,7.021307950113614,,,,,821.0,0.0,0.0,3.2
0.04916620262745643,4.169172821175822,,,,,850.0,0.0,0.0,3.2
0.06309573444801933,2.428229895710839,,,,,709.0,0.0,0.0,3.2
0.0031622776601683794,55.17596470300246,52.8241672804786,32.02228567200873,4.986317137465313,,74.0,29.0,21.0,3.4
0.004058198942243799,41.15385457232009,25.255386717491906,26.41556728695918,-4.721124660323524,,123.0,20.0,20.0,3.4
0.005207948328595465,53.26348795838008,41.42896429992331,22.246121762026693,3.2413193743290467,,178.0,42.0,35.0,3.4
