k,paa,ptt,pab,qab,pbb,npix_aa,npix_tt,npix_ab,z
0.011006941712522098,41.704102227154515,38.991968417966206,24.479969367841885,9.076162172217833,16.920387421442133,238.0,72.0,41.0,3.8
0.01412537544622754,37.265577820241674,30.39405260724139,18.109516836213547,-5.043896701795176,12.576247133834809,322.0,98.0,60.0,3.8
0.018127308811846987,29.72507736786268,24.91985063326167,14.806023098841065,-2.768584204237794,11.285767866694991,414.0,123.0,77.0,3.8
0.02326305067153626,22.417975480463216,23.542263057391263,10.237354184358695,-1.8160848904612372,13.461730440243484,537.0,155.0,98.0,3.8
0.029853826189179603,16.077771612026314,16.2003074419492,7.958371746739119,1.72811821747979,9.454009065644222,687.0,193.0,127.0,3.8
0.03831186849557289,11.973891048591009,10.286993688211657,3.194902400835754,0.6274777725179531,5.06478693919344,868.0,241.0,151.0,3.8
0.04916620262745643,8.31492321483855,6.901378435189158,3.0767996097308252,0.4553004800696089,3.7009988109589944,1047.0,285.0,190.0,3.8
0.06309573444801933,4.901756926508713,3.981169475105619,1.5279606022935983,0.7251256111977793,2.35843228385618,1274.0,266.0,225.0,3.8
0.0031622776601683794,101.26635739313994,95.85641173068757,52.92928833865707,-22.547403928664217,44.02901919631945,36.0,23.0,19.0,4.0
0.004058198942243799,87.52040506817484,85.29838176695881,44.71534052423763,-0.6337975926968941,42.48271729960163,61.0,35.0,20.0,4.0
0.005207948328595465,74.59193740436093,55.816048791111655,24.32404786427558,4.395447393095046,15.743066749757837,79.0,42.0,30.0,4.0
0.006683439175686149,62.37387537345337,73.80606630914419,22.592943176319864,7.4020305606046675,40.36763498092693,89.0,61.0,24.0,4.0
0.008576958985908946,55.68846341379166,42.24559881154032,19.372564284494477,-2.578191478652585,13.149714781123997,118.0,60.0,46.0,4.0
0.011006941712522098,50.31353553500897,44.20966195123302,37.20529533030836,0.6172309994790738,20.23919326699858,149.0,90.0,47.0,4.0
0.01412537544622754,43.818841588221126,40.68755616025532,25.058887071302934,-1.1565995762106824,21.389409012448052,204.0,116.0,68.0,4.0
0.018127308811846987,31.392573615446317,33.49853396769338,10.86386680955569,-0.8816811087532557,18.02046336707157,257.0,152.0,90.0,4.0
0.02326305067153626,29.315165043687912,24.843403223842913,11.255610376596929,0.7709123375715963,11.891565603402434,322.0,186.0,108.0,4.0
0.029853826189179603,21.770935548989417,19.051724843078617,9.423356424180648,3.2827339819998778,9.702635614683071,412.0,220.0,137.0,4.0
0.03831186849557289,15.592932047981796,11.570571790844571,6.068580483304068,0.17350501198701235,4.5492638407309585,532.0,267.0,160.0,4.0
0.04916620262745643,10.03410976501126,7.745284187144283,2.9676434287508293,0.9034432966785969,3.576111365968461,652.0,291.0,189.0,4.0
0.06309573444801933,6.600213464814895,5.897065468676416,1.9107129024293645,0.3240935933530862,3.468835572965578,762.0,277.0,199.0,4.0
0.0031622776601683794,103.40694623710813,94.059702695925,21.00315779678871,-34.06210360677969,38.88373799292254,17.0,16.0,11.0,4.2
0.004058198942243799,72.97042028096577,63.49629075383359,62.27348829191606,-6.1584489640449505,22.3424361815135,27.0,19.0,11.0,4.2
0.005207948328595465,106.5509298911185,115.18193526198,62.48472743738858,-9.97993021016244,61.91844730359992,29.0,25.0,16.0,4.2
0.006683439175686149,102.60368425528009,59.92046291745235,34.74232476563791,12.87491558827504,20.811732492548252,42.0,33.0,18.0,4.2
0.008576958985908946,76.10772102511737,49.78718809570714,27.05387569422266,12.292613803692776,16.870422372507555,55.0,39.0,28.0,4.2
0.011006941712522098,54.26580771467794,51.256639941848206,17.519573380195848,3.2273517946716055,21.315014713242704,67.0,55.0,29.0,4.2
0.01412537544622754,39.63955053005673,41.45205276185983,5.937301753113699,-6.403853376079144,17.95907872508335,92.0,68.0,40.0,4.2
0.018127308811846987,37.20125386508155,32.807933134439324,16.581315138639518,-2.3714085759499537,11.497186002912652,112.0,86.0,53.0,4.2
0.02326305067153626,28.910812737687504,27.48264339934105,9.942092303602722,-0.8121873281249582,10.896675873689247,147.0,113.0,65.0,4.2
0.029853826189179603,24.678932576920285,23.89564503368917,10.144601310034773,-1.6194495342274355,12.332887509641749,189.0,136.0,86.0,4.2
0.03831186849557289,15.454717095791901,18.314444496889166,5.229653965238961,-1.1557064936467394,9.749850094940506,233.0,156.0,106.0,4.2
0.04916620262745643,10.772360248255154,14.306961881413564,3.6341093043618704,-0.35607891889968296,8.539804106386942,302.0,127.0,121.0,4.2
0.06309573444801933,7.761145614134056,6.681637930402698,1.8787208145877896,-0.747036974494401,3.131665775426331,344.0,96.0,95.0,4.2
