# zLya k PLya stat Pnoise PSB
2.8 0.003794 26.6358 0.27278 3.16906 1.33785
2.8 0.004336 24.8978 0.259295 3.24078 1.15632
2.8 0.004878 25.5972 0.264436 3.33756 1.0234
2.8 0.00542 25.7654 0.255077 3.43685 0.933548
2.8 0.005962 24.4989 0.25637 3.56689 0.880757
2.8 0.006504 21.6199 0.213275 3.7076 0.858793
2.8 0.007046 20.5604 0.219468 3.87786 0.861401
2.8 0.007588 21.0525 0.238799 4.05394 0.882484
2.8 0.00813 20.5498 0.229164 4.23656 0.916266
2.8 0.008672 19.8791 0.224635 4.45813 0.957428
2.8 0.009214 18.8251 0.252552 4.67616 1.00123
2.8 0.009756 17.4615 0.203041 4.8934 1.0436
2.8 0.010298 17.0521 0.202075 5.19522 1.08123
2.8 0.01084 17.4126 0.208464 5.5346 1.1116
2.8 0.011382 16.6042 0.205323 5.91194 1.13304
2.8 0.011924 15.2737 0.195546 6.34361 1.14472
2.8 0.012466 14.9052 0.2025 6.82134 1.14667
2.8 0.013008 14.328 0.198553 7.36047 1.13973
2.8 0.01355 14.4649 0.204234 7.97065 1.12552
2.8 0.014092 13.6803 0.203995 8.67229 1.10634
2.8 0.014634 13.0232 0.207493 9.45493 1.08513
2.8 0.015176 12.097 0.206513 10.3436 1.06532
2.8 0.015718 12.0223 0.214941 11.368 1.05071
2.8 0.01626 12.0305 0.228787 12.5144 1.04535
2.8 0.016802 11.4553 0.228123 13.9037 1.05335
2.8 0.017344 11.3318 0.256099 15.5095 1.07867
2.8 0.017886 10.9932 0.271982 17.2693 1.12497
2.8 0.018428 10.427 0.298372 19.3285 1.19532
2.8 0.01897 9.79278 0.308277 21.6771 1.29202
2.8 0.019512 9.89288 0.328884 24.6179 1.41628
3 0.001084 47.0566 0.60373 3.13033 3.35244
3 0.001626 40.8506 0.499371 3.15044 2.86699
3 0.002168 41.1471 0.507366 3.18528 2.43843
3 0.00271 40.6705 0.486703 3.22999 2.06945
3 0.003252 37.8557 0.462556 3.28678 1.76067
3 0.003794 31.8641 0.385472 3.35288 1.51089
3 0.004336 30.2789 0.372072 3.43452 1.31738
3 0.004878 30.2144 0.366541 3.52291 1.17615
3 0.00542 30.4458 0.35797 3.60808 1.08221
