# continuum noise resolution SB linemask DLAmask DLAcompleteness BALcompleteness
0.401383 0.0467137 0.00778 0.0303527 0.386352 0.00385824 0.621156 0.232092
0.293091 0.0471185 0.0155894 0.0273894 0.34342 0.00532471 0.376758 0.137773
0.271682 0.0476601 0.0288622 0.0244929 0.356852 0.00713459 0.300476 0.107585
0.250002 0.0484588 0.0448247 0.0217865 0.353762 0.00832054 0.243844 0.0855234
0.224324 0.0492939 0.0611955 0.0193726 0.334326 0.00874459 0.19652 0.0675444
0.181255 0.0504637 0.0701466 0.0173308 0.280478 0.00784485 0.144639 0.0487366
0.167569 0.051823 0.0874885 0.0157174 0.266599 0.00773923 0.123167 0.0407019
0.163088 0.0532951 0.110612 0.014565 0.264858 0.00778753 0.111413 0.036122
0.160236 0.0553257 0.137086 0.0138841 0.264151 0.00770109 0.102499 0.0326156
0.149781 0.0573862 0.157884 0.0136638 0.2495 0.00707255 0.0902764 0.0282032
0.13424 0.0596601 0.171029 0.0138746 0.225073 0.00608638 0.0766403 0.0235149
0.124074 0.0627723 0.188035 0.0144708 0.208659 0.00527857 0.0674044 0.0203178
0.129641 0.0659376 0.230577 0.0153935 0.217983 0.00505082 0.0672821 0.0199308
0.125024 0.0689056 0.257973 0.0165739 0.209537 0.00434082 0.0622012 0.0181129
0.114908 0.072741 0.272337 0.0179371 0.191377 0.00344236 0.0549695 0.0157399
0.109643 0.0768765 0.295894 0.0194056 0.180916 0.00272023 0.0505698 0.0142424
0.102272 0.0806198 0.311876 0.0209032 0.166667 0.00198562 0.0455879 0.0126319
0.0987236 0.085855 0.337887 0.0223586 0.158379 0.00137351 0.0426222 0.0116224
0.0996248 0.0919103 0.380373 0.0237092 0.156791 0.000841128 0.0417396 0.0112037
0.0934559 0.0986531 0.395893 0.0249041 0.143754 0.000294111 0.0380642 0.0100598
0.0895308 0.10633 0.418736 0.0259072 0.134053 0.000164133 0.0355064 0.00924141
0.0838357 0.114976 0.430984 0.0267001 0.121641 0.000532841 0.0324206 0.00831214
0.0823369 0.124706 0.463373 0.027284 0.11519 0.000846249 0.0310902 0.00785367
0.0833762 0.135832 0.511767 0.0276809 0.111835 0.00112197 0.0307779 0.00766199
0.0787727 0.148384 0.525561 0.0279349 0.10065 0.00124059 0.0284598 0.00698356
0.0731454 0.16271 0.528801 0.0281122 0.0883604 0.00124431 0.0258913 0.0062637
0.070632 0.178953 0.551709 0.0282998 0.0799551 0.00120784 0.0245187 0.00584916
0.0705586 0.197652 0.59388 0.0286041 0.0740503 0.00111993 0.0240415 0.00565668
0.0681337 0.219081 0.616413 0.0291482 0.0654276 0.000898219 0.0228061 0.0052934
0.065343 0.246358 0.633965 0.0300673 0.0564683 0.000580838 0.0215031 0.00492435
0.0639237 0.275751 0.663663 0.0315042 0.0486445 0.000181922 0.0206962 0.00467713
0.0588537 0.309664 0.652534 0.0336021 0.038282 0.000299587 0.0187595 0.00418434
0.058705 0.348402 0.693789 0.0364973 0.0312554 0.000884332 0.0184339 0.00405893
0.0577345 0.393843 0.726007 0.0403091 0.0234765 0.00157149 0.0178701 0.00388494
0.0599817 0.448458 0.801226 0.045129 0.0163683 0.00250126 0.0183107 0.0039309
0.48353 0.0566121 0.00921393 0.0318641 0 0.0186147 0.797313 0.297912
0.367048 0.0569502 0.018073 0.0287923 0 0.016863 0.473406 0.173116
0.346892 0.0576106 0.0328034 0.0257784 0 0.0177424 0.370147 0.132531
0.325113 0.0584972 0.0504748 0.0229546 0 0.017877 0.297615 0.104382
0.286657 0.0595185 0.066339 0.0204309 0 0.0165897 0.230916 0.0793665
0.239433 0.060846 0.0773724 0.0182934 0 0.0143733 0.172933 0.0582702
0.219529 0.062223 0.0945055 0.0166034 0 0.0135232 0.144221 0.0476594
0.222273 0.0640812 0.123031 0.0153971 0 0.0139324 0.134336 0.0435541
0.220977 0.0659876 0.152974 0.0146868 0 0.013998 0.123997 0.0394562
0.207971 0.0684844 0.176109 0.0144625 0 0.0132382 0.109171 0.0341062
0.181954 0.071186 0.185081 0.0146938 0 0.0115822 0.0899216 0.0275899
0.171768 0.0744548 0.206721 0.015333 0 0.010889 0.0803485 0.0242196
0.174767 0.0778356 0.245684 0.0163184 0 0.0109947 0.0777376 0.0230279
0.169651 0.0813419 0.275536 0.0175775 0 0.0105599 0.0720452 0.0209795
0.163317 0.0855961 0.303547 0.0190311 0 0.0100327 0.0664472 0.0190264
0.153991 0.0897823 0.324825 0.020597 0 0.00931705 0.060211 0.0169577
0.142287 0.0939532 0.338136 0.0221946 0 0.00846572 0.0536127 0.0148555
0.138471 0.0997483 0.368321 0.023748 0 0.00809283 0.0504012 0.0137437
0.140958 0.106264 0.417224 0.0251905 0 0.00808766 0.0496707 0.0133325
0.134033 0.113509 0.43917 0.0264679 0 0.00754957 0.045815 0.0121082
0.122974 0.121797 0.443935 0.0275418 0 0.00680346 0.0408478 0.0106316
0.119724 0.13097 0.474139 0.0283923 0 0.00651325 0.0387077 0.00992406
0.114838 0.141321 0.496966 0.0290205 0 0.00615421 0.0361912 0.00914224
0.115703 0.153036 0.545189 0.0294497 0 0.006123 0.0355919 0.0088604
0.109225 0.166508 0.558543 0.0297268 0 0.00572572 0.0328365 0.00805754
0.103799 0.181535 0.574306 0.0299218 0 0.00541052 0.0305319 0.00738639
0.096263 0.198598 0.57465 0.0301277 0 0.00501151 0.0277332 0.00661602
0.0955266 0.218266 0.613669 0.0304577 0 0.00499213 0.0269818 0.00634848
0.0954584 0.240277 0.658326 0.0310428 0 0.00503545 0.0264581 0.00614104
0.0907755 0.266951 0.670555 0.0320273 0 0.00486231 0.0247101 0.00565877
0.089687 0.297782 0.708145 0.0335636 0 0.00490865 0.023996 0.00542285
0.0869068 0.331571 0.732013 0.0358046 0 0.00489115 0.0228709 0.00510138
0.0823417 0.371107 0.738511 0.0388956 0 0.0047958 0.0213288 0.00469636
0.0772537 0.4162 0.736508 0.0429643 0 0.00468524 0.0197088 0.00428466
0.0779678 0.472664 0.788837 0.0481086 0 0.00495289 0.0196025 0.00420823
0.479636 0.0601024 0.0105101 0.0399724 0 0.00961129 0.964295 0.360304
0.36484 0.0604885 0.0205318 0.0360933 0 0.0158773 0.570235 0.208524
0.341531 0.0611574 0.0367731 0.0322948 0 0.0225693 0.439963 0.157528
0.32218 0.0620158 0.0568066 0.028741 0 0.027864 0.355153 0.124563
0.29033 0.0631061 0.0761634 0.0255683 0 0.0302797 0.281109 0.0966181
0.238635 0.0643753 0.0872909 0.022883 0 0.0284909 0.206878 0.069708
0.22267 0.0659428 0.108386 0.0207604 0 0.0293485 0.175391 0.0579601
0.219019 0.0676399 0.136949 0.0192449 0 0.0310193 0.158568 0.0514103
0.218136 0.0692751 0.170458 0.0183509 0 0.032504 0.146521 0.0466236
0.202268 0.0722967 0.193219 0.0180649 0 0.0311709 0.127023 0.0396831
0.181207 0.0746545 0.207816 0.0183485 0 0.0284682 0.107079 0.0328541
0.167159 0.0780691 0.226707 0.0191416 0 0.026442 0.093454 0.02817
0.174453 0.0813737 0.276251 0.0203667 0 0.0274846 0.0927084 0.0274627
0.168578 0.0848219 0.308292 0.0219331 0 0.0261951 0.085501 0.0248978
0.157797 0.0889871 0.330127 0.0237418 0 0.0239714 0.0766542 0.021949
0.146441 0.0908844 0.347588 0.0256902 0 0.0215743 0.0683472 0.0192492
0.139452 0.097149 0.372794 0.0276776 0 0.0197781 0.0627046 0.0173748
0.14242 0.102761 0.426028 0.0296096 0 0.0193168 0.0618493 0.0168654
0.138351 0.109199 0.460414 0.0314029 0 0.0178399 0.0581553 0.01561
0.135015 0.116104 0.497256 0.0329902 0 0.0164692 0.0550423 0.0145468
0.125656 0.124334 0.50976 0.0343237 0 0.0144432 0.0497723 0.0129544
0.119194 0.133398 0.530346 0.0353788 0 0.0128782 0.0459469 0.0117801
0.114937 0.143384 0.558712 0.0361567 0 0.0116656 0.0431822 0.0109082
0.118377 0.154975 0.626422 0.0366869 0 0.011306 0.0434058 0.0108056
0.106743 0.167794 0.612888 0.0370277 0 0.00963818 0.0382469 0.00938517
0.106236 0.18235 0.659843 0.0372665 0 0.00914294 0.0372396 0.00900914
0.101045 0.198814 0.677009 0.0375189 0 0.00838954 0.0346886 0.00827529
0.098325 0.21749 0.708807 0.0379259 0 0.00800373 0.0330903 0.00778574
0.0961007 0.238886 0.743575 0.0386507 0 0.00782194 0.0317339 0.00736557
0.090803 0.263019 0.752414 0.0398729 0 0.0075564 0.0294458 0.00674328
0.0930803 0.293939 0.824253 0.0417818 0 0.00810595 0.0296654 0.00670407
0.0824864 0.326288 0.779072 0.0445677 0 0.00768855 0.0258561 0.00576724
0.0828247 0.363178 0.832813 0.0484113 0 0.00843178 0.0255521 0.00562629
0.0763647 0.406123 0.816058 0.0534712 0 0.00863504 0.0232021 0.00504409
0.0783789 0.457022 0.888713 0.0598691 0 0.00997318 0.0234672 0.0050379
