# Observed Ly-alpha forest Statistics extracted from KODIAQ-DR2 Sample
# Column-00 -->> Mean Redshift of the statistics [zmin,zmax] = [zmean-0.1, zmean+0.1]
# Column-01 -->> Log10  of the Curvature (log10 kappa)
# Column-02 -->> Normalized probability distribution function of log-curvature
# Column-03 -->> Unicertainty (1 sigma) in PDF of log-curvature
# 
2.00	 -8.1250e+00	 1.3289e-07	 3.9938e-07
2.00	 -7.8750e+00	 1.4236e-05	 3.5674e-05
2.00	 -7.6250e+00	 2.7478e-05	 4.7890e-05
2.00	 -7.3750e+00	 3.1470e-05	 5.1173e-05
2.00	 -7.1250e+00	 7.0074e-05	 9.9837e-05
2.00	 -6.8750e+00	 8.3200e-05	 9.4241e-05
2.00	 -6.6250e+00	 2.5638e-04	 2.7897e-04
2.00	 -6.3750e+00	 2.6329e-04	 1.9644e-04
2.00	 -6.1250e+00	 5.2141e-04	 4.0134e-04
2.00	 -5.8750e+00	 1.1590e-03	 7.7997e-04
2.00	 -5.6250e+00	 1.8644e-03	 1.2005e-03
2.00	 -5.3750e+00	 3.2964e-03	 2.2096e-03
2.00	 -5.1250e+00	 6.2104e-03	 4.1256e-03
2.00	 -4.8750e+00	 1.1335e-02	 7.7895e-03
2.00	 -4.6250e+00	 1.9900e-02	 1.3437e-02
2.00	 -4.3750e+00	 3.5571e-02	 2.4157e-02
2.00	 -4.1250e+00	 6.2348e-02	 4.0930e-02
2.00	 -3.8750e+00	 1.0632e-01	 6.5980e-02
2.00	 -3.6250e+00	 1.7488e-01	 9.6468e-02
2.00	 -3.3750e+00	 2.5671e-01	 1.0730e-01
2.00	 -3.1250e+00	 3.4861e-01	 1.1283e-01
2.00	 -2.8750e+00	 4.4865e-01	 1.0266e-01
2.00	 -2.6250e+00	 5.5198e-01	 8.0943e-02
2.00	 -2.3750e+00	 6.3633e-01	 1.1708e-01
2.00	 -2.1250e+00	 6.4194e-01	 1.7112e-01
2.00	 -1.8750e+00	 4.7569e-01	 1.6846e-01
2.00	 -1.6250e+00	 1.8499e-01	 8.0097e-02
2.00	 -1.3750e+00	 2.8911e-02	 1.6264e-02
2.00	 -1.1250e+00	 2.1617e-03	 2.2522e-03
2.00	 -8.7500e-01	 1.0472e-04	 2.0283e-04
2.00	 -6.2500e-01	 1.2433e-06	 3.4475e-06
2.00	 -3.7500e-01	 1.1352e-09	 3.4747e-09
2.20	 -8.1250e+00	 1.4389e-09	 5.0351e-09
2.20	 -7.8750e+00	 1.8411e-06	 6.4418e-06
2.20	 -7.6250e+00	 6.6722e-06	 2.2759e-05
2.20	 -7.3750e+00	 7.1610e-06	 1.7405e-05
2.20	 -7.1250e+00	 7.3790e-05	 1.0905e-04
2.20	 -6.8750e+00	 1.2432e-04	 1.3503e-04
2.20	 -6.6250e+00	 1.6662e-04	 2.0210e-04
2.20	 -6.3750e+00	 3.1663e-04	 2.7469e-04
2.20	 -6.1250e+00	 7.7542e-04	 6.6774e-04
2.20	 -5.8750e+00	 1.1995e-03	 8.3442e-04
2.20	 -5.6250e+00	 2.2788e-03	 1.2904e-03
2.20	 -5.3750e+00	 4.5679e-03	 2.7900e-03
2.20	 -5.1250e+00	 7.1481e-03	 4.8222e-03
2.20	 -4.8750e+00	 1.2294e-02	 7.7951e-03
2.20	 -4.6250e+00	 2.2357e-02	 1.3418e-02
2.20	 -4.3750e+00	 4.0748e-02	 2.4265e-02
2.20	 -4.1250e+00	 7.0732e-02	 4.1364e-02
2.20	 -3.8750e+00	 1.1856e-01	 6.3956e-02
2.20	 -3.6250e+00	 1.8887e-01	 8.8722e-02
2.20	 -3.3750e+00	 2.7651e-01	 1.0222e-01
2.20	 -3.1250e+00	 3.7824e-01	 1.0002e-01
2.20	 -2.8750e+00	 4.8637e-01	 8.4773e-02
2.20	 -2.6250e+00	 5.8922e-01	 8.3021e-02
2.20	 -2.3750e+00	 6.4637e-01	 1.2543e-01
2.20	 -2.1250e+00	 5.8806e-01	 1.5488e-01
2.20	 -1.8750e+00	 3.8470e-01	 1.3483e-01
2.20	 -1.6250e+00	 1.4622e-01	 8.8852e-02
2.20	 -1.3750e+00	 3.0269e-02	 3.3809e-02
2.20	 -1.1250e+00	 3.6133e-03	 5.4468e-03
2.20	 -8.7500e-01	 2.4120e-04	 4.3731e-04
2.20	 -6.2500e-01	 1.8490e-05	 5.5875e-05
2.20	 -3.7500e-01	 1.1863e-07	 3.8883e-07
2.40	 -9.8750e+00	 4.0950e-05	 1.4037e-04
2.40	 -9.6250e+00	 4.1808e-05	 1.4331e-04
2.40	 -9.3750e+00	 4.2738e-05	 1.4650e-04
2.40	 -9.1250e+00	 4.3771e-05	 1.5004e-04
2.40	 -8.8750e+00	 4.4974e-05	 1.5416e-04
2.40	 -8.6250e+00	 4.6661e-05	 1.5934e-04
2.40	 -8.3750e+00	 5.7346e-05	 1.6842e-04
2.40	 -8.1250e+00	 6.3731e-05	 1.7935e-04
2.40	 -7.8750e+00	 6.6161e-05	 1.9013e-04
2.40	 -7.6250e+00	 1.0051e-04	 2.1795e-04
2.40	 -7.3750e+00	 1.3409e-04	 2.4109e-04
2.40	 -7.1250e+00	 1.5547e-04	 2.4202e-04
2.40	 -6.8750e+00	 2.0895e-04	 2.5951e-04
2.40	 -6.6250e+00	 3.3620e-04	 3.1716e-04
2.40	 -6.3750e+00	 4.5047e-04	 4.0428e-04
2.40	 -6.1250e+00	 8.7546e-04	 6.1811e-04
2.40	 -5.8750e+00	 1.6383e-03	 9.0224e-04
2.40	 -5.6250e+00	 2.7150e-03	 1.4312e-03
