# Observed Ly-alpha forest Statistics extracted from KODIAQ-DR2 Sample
# Column-00 -->> Mean Redshift of the statistics [zmin,zmax] = [zmean-0.1, zmean+0.1]
# Column-01 -->> Wavelet Scale (sn) in km/s
# Column-02 -->> Log10  of the Wavelet amplitude
# Column-03 -->> Normalized probability distribution function of log-wavelet amplitude
# Column-04 -->> Unicertainty (1 sigma) in PDF of log-wavelet amplitude
# 
2.00	 40.00	 -2.3750e+00	 2.9193e-01	 1.1551e-01
2.00	 40.00	 -2.1250e+00	 3.6879e-01	 1.1168e-01
2.00	 40.00	 -1.8750e+00	 4.3591e-01	 1.0302e-01
2.00	 40.00	 -1.6250e+00	 4.8144e-01	 1.0704e-01
2.00	 40.00	 -1.3750e+00	 4.9608e-01	 1.3609e-01
2.00	 40.00	 -1.1250e+00	 4.5426e-01	 1.5715e-01
2.00	 40.00	 -8.7500e-01	 3.6058e-01	 1.6600e-01
2.00	 40.00	 -6.2500e-01	 2.3319e-01	 1.3856e-01
2.00	 40.00	 -3.7500e-01	 1.2128e-01	 8.3463e-02
2.00	 40.00	 -1.2500e-01	 4.4558e-02	 3.5357e-02
2.00	 40.00	 1.2500e-01	 1.2266e-02	 1.1374e-02
2.00	 40.00	 3.7500e-01	 3.7143e-03	 4.2917e-03
2.00	 40.00	 6.2500e-01	 4.1454e-04	 8.3713e-04
2.00	 40.00	 8.7500e-01	 5.8752e-06	 1.4146e-05
2.00	 40.00	 1.1250e+00	 6.9009e-09	 1.6496e-08
2.00	 50.00	 -8.8750e+00	 1.5890e-09	 5.8771e-09
2.00	 50.00	 -8.6250e+00	 2.0247e-07	 7.4886e-07
2.00	 50.00	 -8.3750e+00	 3.6418e-06	 1.3470e-05
2.00	 50.00	 -8.1250e+00	 9.2469e-06	 3.4201e-05
2.00	 50.00	 -7.8750e+00	 3.3144e-06	 1.2259e-05
2.00	 50.00	 -7.6250e+00	 1.6798e-07	 6.2022e-07
2.00	 50.00	 -7.3750e+00	 1.6380e-07	 4.2365e-07
2.00	 50.00	 -7.1250e+00	 8.6691e-06	 2.1477e-05
2.00	 50.00	 -6.8750e+00	 5.6229e-05	 1.3095e-04
2.00	 50.00	 -6.6250e+00	 1.0498e-04	 2.0670e-04
2.00	 50.00	 -6.3750e+00	 1.0917e-04	 1.6969e-04
2.00	 50.00	 -6.1250e+00	 1.1276e-04	 1.4505e-04
2.00	 50.00	 -5.8750e+00	 1.7495e-04	 1.9474e-04
2.00	 50.00	 -5.6250e+00	 3.8083e-04	 4.3617e-04
2.00	 50.00	 -5.3750e+00	 7.5193e-04	 6.6479e-04
2.00	 50.00	 -5.1250e+00	 1.1525e-03	 1.0288e-03
2.00	 50.00	 -4.8750e+00	 1.8048e-03	 1.6685e-03
2.00	 50.00	 -4.6250e+00	 3.1800e-03	 2.9304e-03
2.00	 50.00	 -4.3750e+00	 5.4419e-03	 4.2090e-03
2.00	 50.00	 -4.1250e+00	 9.3727e-03	 7.1768e-03
2.00	 50.00	 -3.8750e+00	 1.7840e-02	 1.4608e-02
